type,year,title,authors,venue,status,link,bibtex,note,thumbnail
Journal,2025,Learning to Represent Code Changes,"X. Tang, H. Tian, W. Pian, S. Ezzini, A. Kabore, A. Habib, K. Kim**, J. Klein, and T. Bissyandé",Empirical Software Engineering (EMSE),Just Accepted,https://link.springer.com/article/10.1007/s10664-025-10763-6,"@ARTICLE{Xunzhu2024EMSE,
  author={Tang, Xunzhu and Tian, Haoye and Pian, Weiguo and Ezzini, Saad and Kabore, Abdoul Kader and Habib, Andrew and Kim**, Kisub and Klein, Jacques and Bissyandé, Tegawendé F.},
  journal={Empirical Software Engineering (EMSE)},
  issue={xx},
  year={2025 [Just Accepted]},
  pages={xx-xx},
  title={Learning to Represent Code Changes},
  volume={xx}
}",,data/publication/Learning_to Represent_Code_Changes.png
Journal,2025,Automating Requirement-to-Specification Traceability Recovery in Weapon Systems via Domain-Adapted Pretrained Models,"T. Kim, K. Kim**, and K. Jo",The Journal of Software Systems (JSS),Under Review,#,"@ARTICLE{Taeyoung2025JSS,
  author={Kim, Taeyoung and Kim**, Kisub and Jo, Kwanjun},
  journal={The Journal of Software Systems (JSS)},
  issue={xx},
  year={2025 [Under Review]},
  pages={xx-xx},
  title={Automating Requirement-to-Specification Traceability Recovery in Weapon Systems via Domain-Adapted Pretrained Models},
  volume={xx}
}",,
Journal,2025,Just-in-Time Detection of Silent Security Patches,"D. Tang, K. Kim, S. Ezzini, Y. Song, H. Tian, J. Klein, and T. Bissyandé",ACM Transactions on Software Engineering and Methodology (TOSEM),Just Accepted,https://arxiv.org/html/2312.01241v2,"@ARTICLE{Xunzhu2024TOSEM,
  author={Tang, Daniel and Kim, Kisub and Ezzini, Saad and Song, Yewei and Tian, Haoye and Klein, Jacques and Bissyandé, Tegawendé F.},
  journal={ACM Transactions on Software Engineering and Methodology (TOSEM)},
  issue={xx},
  year={2025 [Just Accepted]},
  pages={xx-xx},
  title={Just-in-Time Detection of Silent Security Patches},
  volume={xx}
}",,data/publication/Just_in_Time_Security_Patch_Detection_LLM_At_the_Rescue_for_Data_Augmentation.png
Journal,2025,Exploring Parameter-Efficient Fine-Tuning Techniques for Code Generation with Large Language Models,"M. Weyssow, X. Zhou, K. Kim, D. Lo, and H. Sahraoui",ACM Transactions on Software Engineering and Methodology (TOSEM),,https://dl.acm.org/doi/pdf/10.1145/3714461,"@ARTICLE{Martin2024TOSEM,
  author={Weyssow, Martin and Zhou, Xin and Kim, Kisub and Lo, David and Sahraoui, Houari},
  journal={ACM Transactions on Software Engineering and Methodology (TOSEM)},
  issue={xx},
  year={2025},
  pages={xx-xx},
  title={Exploring Parameter-Efficient Fine-Tuning Techniques for Code Generation with Large Language Models},
  volume={xx}
}",,data/publication/Exploring_Parameter_Efficient_Fine_Tuning_Techniques.png
Journal,2025,How are We Detecting Inconsistent Method Names? An Empirical Study from Code Review Perspective,"K. Kim, X. Zhou, D. Kim, J. Lawall, K. Liu, T. Bissyandé, J. Klein, J. Lee, and D. Lo",ACM Transactions on Software Engineering and Methodology (TOSEM),,https://dl.acm.org/doi/pdf/10.1145/3711901,"@ARTICLE{Kim2023TOSEM,
  author={Kim, Kisub and Zhou, Xin and Kim, Dongsun and Lawall, Julia and Liu, Kui and Bissyandé, Tegawendé F. and Klein, Jacques and Lee, Jaekwon and Lo, David},
  journal={ACM Transactions on Software Engineering and Methodology (TOSEM)},
  issue={6},
  year={2025},
  pages={1-27},
  title={How are We Detecting Inconsistent Method Names? An Empirical Study from Code Review Perspective},
  volume={34}
}",,data/publication/How_Are_We_Detecting_Inconsistent_Method_Names.png
Journal,2025,Temporal-Incremental Learning for Android Malware Detection,"T. Sun, N. Daoudi, W. Pian, K. Kim**, K. Allix, T. Bissyandé, and J. Klein",ACM Transactions on Software Engineering and Methodology (TOSEM),,https://dl.acm.org/doi/pdf/10.1145/3702990,"@ARTICLE{Tiezhu2024TOSEM,
  author={Sun, Tiezhu and Daoudi, Nadia and Pian, Weiguo and Kim**, Kisub and Allix, Kevin and Bissyandé, Tegawendé F. and Klein, Jacques},
  journal={ACM Transactions on Software Engineering and Methodology (TOSEM)},
  issue={4},
  year={2025},
  pages={1-30},
  title={Temporal-Incremental Learning for Android Malware Detection},
  volume={34}
}",,data/publication/Temporal_Incremental_Learning_for_Android_Malware.png
Journal,2024,Leveraging Large Language Model for Automatic Patch Correctness Assessment,"X. Zhou, B. Xu, K. Kim, D. Han, T. Le Cong, J. He, B. Le, and D. Lo",Transactions on Software Engineering (TSE),,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10659742,"@ARTICLE{Xin2023TSE,
  author={Zhou, Xin and Xu, Bowen and Kim, Kisub and Han, DongGyun and Le Cong, Thanh and He, Junda and Le, Bach and Lo, David},
  journal={Transactions on Software Engineering (TSE)},
  issue={11},
  year={2024},
  pages={2865-2883},
  title={Leveraging Large Language Model for Automatic Patch Correctness Assessment},
  volume={50}
}",,data/publication/LLM4PatchCorrect.png
Journal,2024,Representation Learning for Stack Overflow Posts - How Far are We?,"J. He, X. Zhou, B. Xu, T. Zhang, K. Kim**, Z. Yang, F. Thung, I. Clairine Irsan, and D. Lo",ACM Transactions on Software Engineering and Methodology (TOSEM),,https://dl.acm.org/doi/pdf/10.1145/3635711,"@ARTICLE{Junda2024TOSEM,
  author={He, Junda and Zhou, Xin and Xu, Bowen and Zhang, Ting and Kim**, Kisub and Yang, Zhou and Thung, Ferdian and Clairine Irsan, Ivana and Lo, David},
  journal={ACM Transactions on Software Engineering and Methodology (TOSEM)},
  issue={3},
  year={2024},
  pages={1-24},
  title={Representation Learning for Stack Overflow Posts - How Far are We?},
  volume={33}
}",,data/publication/Representation_Learning_for_Stack_Overflow_Posts.png
Journal,2023,"DexBERT - Effective, Task-Agnostic and Fine-Grained Representation Learning of Android Bytecode","T. Sun, K. Allix, K. Kim**, X. Zhou, D. Kim, D. Lo, T. Bissyandé, and J. Klein",Transactions on Software Engineering (TSE),,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10237047,"@ARTICLE{Tiezhu2023TSE,
  author={Sun, Tiezhu and Allix, Kevin and Kim**, Kisub and Zhou, Xin and Kim, Dongsun and Lo, David and Bissyandé, Tegawendé F. and Klein, Jacques},
  journal={Transactions on Software Engineering (TSE)},
  issue={10},
  year={2023},
  pages={4691-4706},
  title={DexBERT - Effective, Task-Agnostic and Fine-Grained Representation Learning of Android Bytecode},
  volume={49}
}",,data/publication/DexBERT.png
Journal,2023,Big Code Search - a Bibliography,"K. Kim, S. Ghatpande, D. Kim, X. Zhou, K. Liu, T. Bissyandé, J. Klein, and Y. Le Traon",ACM Computing Surveys (CSUR),,https://dl.acm.org/doi/10.1145/3604905,"@ARTICLE{Kisub2023CSUR,
  DOI={https://doi.org/10.1145/3604905},
  author={Kim, Kisub and Ghatpande, Sankalp and Kim, Dongsun and Zhou, Xin and Liu, Kui and Bissyandé, Tegawendé F. and Klein, Jacques and Le Traon, Yves},
  journal={ACM Computing Surveys (CSUR)},
  issue={1},
  year={2023},
  pages={1-49},
  title={Big Code Search - a Bibliography},
  volume={56}
}",,data/publication/Big_Code_Search.png
